filename,timestamp,event?,title,host,date,time,location,description
caic.txt,2024-12-31 19:14:13,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2025-01-05 06:33:35,yes,Fundamental Analysis Masterclass,Economics Club IIT Delhi in collaboration with Groww,2023-01-08,17:00 - 19:30,"LH 108, IIT Delhi","Get ready to unlock the secrets of the stock market! Whether youâre a beginner or a budding investor, this exclusive workshop is tailored to elevate your financial knowledge. Hereâs whatâs in store: - Learn how to analyze Balance Sheets & Red Herring Prospectus - Discover insider tips and tricks to pick winning stocks - Gain hands-on experience with Fundamental Analysis - Interactive Q&A with finance experts"
caic.txt,2025-01-03 11:46:50,yes,North Zonal Round Finals of the Macmillan Budding Scientist initiative,"IIT Delhi, Macmillan Education and SpringerNature",N/A,N/A,IIT Delhi,"An event that brought together young innovators from across the nation, showcasing their creativity and passion for science. 2,500 teams from 1,200 schools from all over India participated. The North Zone had over 238 schools participating with 372 entries. The top 8 teams presented their groundbreaking ideas at IIT Delhi."
caic.txt,2025-01-03 04:51:56,yes,An exclusive address on 'The United States and India: Building a Shared Future',IIT Delhi,2025-01-06,15:00,"Seminar Hall, Main Building, IIT Delhi","Mr. Jake Sullivan, U.S. National Security Advisor, will be speaking at IIT Delhi for an engaging and insightful session on the evolving dynamics and shared vision of the United States and India. This event is related to #USIndiaRelations, #GlobalPartnership, #IITDelhi, #JakeSullivan, #SpecialAddress, #outreach, #CAIC."
caic.txt,2024-12-22 18:57:39,yes,Celebrating cross-cultural learning,"IIT Delhi, Toshimagaoka Joshi Gakuen, Mesei High School (Japan), Uttam School for Girls and The HDFC School, Gurgaon (India)",N/A,N/A,IIT Delhi,"Students from Japan and India came together for a day of knowledge and exploration, including a lecture by Prof. Sampa Saha, student interactions, and a campus tour. The event was a celebration of global education and collaboration."
caic.txt,2024-12-18 12:10:22,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-12-18 10:39:48,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-12-18 10:31:46,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-12-18 10:14:24,yes,Grassroots Innovation Programme (GRIP),SEWA International,2024-12-24,N/A,"Simli, Karnaprayag and surrounding villages","A sponsored 1-week immersion to engage with local communities and identify real-world challenges, collaboration with SEWA International, expert mentorship, small grants for prototyping, potential market access"
caic.txt,2024-12-06 13:05:38,yes,Call a friend program,"The Student Affairs Council (SAC), in collaboration with the Co-Curricular and Academic Interaction Council (CAIC)",N/A,N/A,N/A,"A program that pairs final-year students currently appearing for placements with batchmates who are already placed. These mentors provide guidance, share experiences, and offer empathetic support to their friends."
caic.txt,2024-12-06 13:04:00,yes,Placement Mentor Program,The Student Affairs Council (SAC) and Co-Curricular and Academic Interaction Council (CAIC),N/A,N/A,IIT Delhi,"A program aimed at turning placement challenges into stepping stones, pairing final-year students appearing for placements with already placed batchmates as mentors to provide guidance, share experiences, and offer support"
caic.txt,2024-12-04 17:18:44,yes,Robot Basketball Hackathon,N/A,2024-12-25,N/A,N/A,"A hackathon inspired by the ABU Robocon 2025 Theme. Participants are challenged to design and submit a CAD model of a robot with all the required mechanisms for the match, along with a document explaining the design and functionality. Submissions can be individual or team-based (max 3 members). Mandatory WhatsApp group joining."
caic.txt,2024-11-10 14:01:36,yes,"Session by Jean Surdej from the Department of Astrophysics, University of Liege, Belgium","Physics and Astronomy Club, IIT Delhi",2024-11-14,16:00,Dogra Hall,Jean Surdej will give insights about the 4m International Liquid Mirror Telescope (ILMT) and more. It will be an amazing session worth attending.
caic.txt,2024-11-08 10:53:10,yes,Reading Circle: Fractals and Chaos Theory,Physics and Astronomy Club,2022-11-09,18:00 - 20:00,WS101 (Design Dept),Join us as we delve into this fascinating transition in physics.
caic.txt,2024-11-07 19:30:53,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-11-07 06:55:59,yes,First session of Astrophotography series,"Physics and Astronomy Club, IIT Delhi",2024-11-08,N/A,LH 318,"Explore the theory behind capturing breathtaking images of the night sky, guiding you through the science of astrophotography. Learn the art of shooting stars and galaxies like a pro!"
caic.txt,2024-11-04 12:17:28,yes,Physics and Astronomy Club Quiz Competition,Physics and Astronomy Club,2022-11-06,7.30pm - 8.15pm,LH 310,"A quiz competition on various topics in physics and astronomy such as astrophysics, cosmology, etc. Participants can challenge their knowledge, explore intriguing concepts, and engage with like-minded peers who share a passion for the cosmos."
caic.txt,2024-11-04 11:01:55,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-11-04 11:00:22,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-11-03 09:18:59,yes,Civil Engineering Forum Night of Celebration,Civil Engineering Forum,2022-11-05,19:00,OAT Lawns,"A night of celebration, camaraderie, and unforgettable memories to welcome freshers to the Civil Engineering community."
caic.txt,2024-11-02 18:18:57,yes,The Hitchhikerâs Guide to the Galaxy,N/A,2022-11-05,18:00,Seminar Hall,"Movie night featuring a science fiction adventure comedy. Open to all, bring your friends for an epic journey filled with humor, adventure, and the ultimate question of the universe. Part of the Physics Society's events at IIT Delhi."
caic.txt,2024-11-01 13:22:54,yes,3 workshop series of Astrophotography,Physics and Astronomy Club IIT Delhi,N/A,N/A,"Nainital and ARIES, Asia's largest observatory","A workshop series on Astrophotography with experience on Theoy, hands on experience, and post processing of the photographs. Attend all the three workshops to get a chance of a memorable trip to Nainital and ARIES."
caic.txt,2024-10-30 18:25:06,yes,An exciting session on âSustainable Energy Transition and Future of Smart Metersâ,energy_iitd,2024-10-16,N/A,N/A,"A session hosted by energy_iitd on October 16, 2024, featuring Mr. Anil Rawal, a visionary in transforming and advancing Indiaâs energy landscape. The session focused on emerging trends in the energy sector like AI and Climate Change Mitigation, emphasizing the role of Smart Metering in a sustainable future. The event concluded with interactive Q&A and informal talks on topics like AI in smart meters, its implementation challenges, and electricity theft."
caic.txt,2024-10-29 06:20:29,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-10-25 17:19:44,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-10-25 14:53:23,yes,Informative session on Quantum computing and information,Physics and Astronomy Club,N/A,18:00,ws101 (design dept),N/A
caic.txt,2024-10-25 11:32:11,yes,BGMI tournament,ACES ACM,2024-10-27,16:30,LH316,A BGMI tournament open to all students with prizes worth over 5k. Teams of any experience level are welcome.
caic.txt,2024-10-25 03:03:06,no,N/A,The Energy Society,N/A,N/A,N/A,"The Energy Society has released the second edition of their annual magazine, Energia."
caic.txt,2024-10-24 15:06:30,yes,Electronic Components Workshop,AXLR8R Formula Racing,2022-10-26,18:00,LHC,"An electrifying workshop on electronic components that power complex systems of a Formula Student race car. The session is hands-on and interactive, so bring your laptops along."
caic.txt,2024-10-20 10:30:53,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-10-20 09:38:02,yes,Monday Night Discussion,"Economics Club under the Co-curricular and Academic Interaction Council (CAIC), in collaboration with the Indian Game Theory Society (IGTS)",2024-10-21,18:30,LH 108,"Round 2 of Monday Night Discussion, this time with a focus on the topic 'Introduction to Game Theory'"
caic.txt,2024-10-19 18:22:07,yes,MicroControllers Workshop,IITD Community,2024-10-21,18:00,Dogra Hall,"Join us for an exciting venture into robotics! Get ready to experience the thrill of robotics through hands-on learning. Whether you're experienced or a beginner, this workshop aims to spark your curiosity and passion for robotics. Don't forget to bring your laptops and charger."
caic.txt,2024-10-18 20:55:12,yes,Fun filled knowledge session,Physics and Astronomy Club,2022-10-19,18:00,Ws101,N/A
caic.txt,2024-10-17 07:57:43,yes,Castillo Cuantico,"Citadel Securities & ARIES, IIT Delhi",2024-10-20,12:45,LH121,"An exciting offline session and competition on AI/ML in Quantitative Finance with real-world industry examples, trading and market-making competition, and a comprehensive Data Challenge based on real-world problems. Exciting prizes for competition winners and goodies for all participants."
caic.txt,2024-10-16 15:37:43,yes,Overview of Smart Energy Systems Research at Teesside University,Energy Society,2024-10-17,17:00,"DESE Committee Room, Block V-343","Engaging talk by Professor Michael Short, Associate Dean (Research & Innovation) and esteemed researcher at Teesside University's School of Computing, Engineering & Digital Technologies (SCEDT), on the latest innovations in sustainable energy systems research"
caic.txt,2024-10-14 13:04:08,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-10-14 04:59:18,yes,Emerging Trends in the Energy Sector with a Focus on Smart Metering,Energy Society,2024-10-16,16:00,LH-526,"A seminar talk on the latest trends in renewable energy, grid modernization, and the impact of technology on energy consumption. The talk will explore how smart metering is revolutionizing energy management and enabling consumers to make informed decisions about their energy use."
caic.txt,2024-10-09 20:33:55,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-10-03 23:20:50,yes,Explore Special Relativity with Physics and Astronomy Club,Physics and Astronomy Club,2024-10-04,18:00,Ws101,Reading circle on the topic of Special Relativity
